City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Sioux Lookout,CA,50.1001,-91.917,54.84,46,3,7.52,clear sky
143,Isangel,VU,-19.55,169.2667,77.41,89,100,7.18,overcast clouds
144,Muros,ES,42.7762,-9.0603,68.85,94,100,8.3,overcast clouds
145,San Gabriel,US,34.0961,-118.1058,85.93,27,1,1.99,clear sky
146,Walvis Bay,NA,-22.9575,14.5053,57.09,80,86,7.11,overcast clouds
147,Aswan,EG,24.0934,32.907,85.3,19,0,12.88,clear sky
148,Oktyabrskiy,RU,54.4815,53.471,46.33,92,100,5.37,light rain
149,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,75,12.66,broken clouds
150,Bafoulabe,ML,13.8065,-10.8321,82.22,54,39,1.86,scattered clouds
151,Warrnambool,AU,-38.3833,142.4833,47.8,87,55,7.43,broken clouds
152,Tiksi,RU,71.6872,128.8694,9.82,89,100,8.84,overcast clouds
153,Aloleng,PH,16.1307,119.7824,79.86,80,72,7.25,broken clouds
154,Mount Gambier,AU,-37.8333,140.7667,42.48,95,56,2.89,broken clouds
155,Tvoroyri,FO,61.5556,-6.8111,45.79,74,100,22.57,overcast clouds
156,Jiayuguan,CN,39.8167,98.3,42.48,27,19,4.88,few clouds
157,Farafangana,MG,-22.8167,47.8333,73.49,82,5,13.62,clear sky
158,Sokoni,TZ,-6.4333,39.55,77.9,77,5,12.88,clear sky
159,Zhicheng,CN,30.2956,111.5047,53.37,63,100,3.6,light rain
160,Lorengau,PG,-2.0226,147.2712,81.9,73,87,5.86,overcast clouds
161,Hamilton,US,39.1834,-84.5333,68.61,43,1,4.0,clear sky
162,Lai,TD,9.3952,16.2989,74.98,87,100,2.08,moderate rain
163,Sangar,RU,63.9242,127.4739,4.5,94,49,2.75,scattered clouds
164,Nikolskoye,RU,59.7035,30.7861,42.87,74,92,10.76,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,28.4,62,61,1.99,broken clouds
166,Avarua,CK,-21.2078,-159.775,78.85,78,75,3.44,broken clouds
167,Bambanglipuro,ID,-7.95,110.2833,57.6,89,58,2.62,broken clouds
168,Alofi,NU,-19.0595,-169.9187,82.29,65,75,14.97,broken clouds
169,Yumen,CN,40.2833,97.2,43.57,25,89,7.92,overcast clouds
170,Caravelas,BR,-17.7125,-39.2481,78.62,73,26,8.93,scattered clouds
171,Egvekinot,RU,66.3167,-179.1667,13.53,83,100,4.76,overcast clouds
172,Sept-Iles,CA,50.2001,-66.3821,51.06,97,90,13.0,mist
173,Sao Desiderio,BR,-12.3633,-44.9733,88.88,33,82,2.73,broken clouds
174,Olinda,BR,-8.0089,-34.8553,80.33,74,40,9.22,scattered clouds
175,Nabire,ID,-3.3667,135.4833,74.43,85,99,3.71,overcast clouds
176,Mackenzie,CA,55.2999,-123.1698,38.28,84,100,4.03,overcast clouds
177,Mizdah,LY,31.4451,12.9801,68.94,30,100,9.08,overcast clouds
178,Vardo,NO,70.3705,31.1107,40.98,87,75,26.46,broken clouds
179,Dondo,MZ,-19.6094,34.7431,76.14,83,0,7.23,clear sky
180,Henties Bay,NA,-22.116,14.2845,56.86,83,92,4.16,overcast clouds
181,Krasnyy Tkach,RU,55.4721,39.0802,44.35,79,100,8.03,overcast clouds
182,Dikson,RU,73.5069,80.5464,31.19,99,100,2.62,light snow
183,Coffeyville,US,37.0373,-95.6164,79.25,31,1,10.36,clear sky
184,Gull Lake,CA,50.1001,-108.4847,75.74,15,12,15.84,few clouds
185,Hofn,IS,64.2539,-15.2082,36.16,98,100,22.06,moderate rain
186,Sorong,ID,-0.8833,131.25,79.83,83,100,3.38,overcast clouds
187,Kavieng,PG,-2.5744,150.7967,82.44,72,13,11.07,few clouds
188,Plettenberg Bay,ZA,-34.0527,23.3716,52.23,77,28,5.99,light rain
189,San Luis,AR,-33.295,-66.3356,73.26,20,27,11.12,scattered clouds
190,Necochea,AR,-38.5473,-58.7368,60.04,62,89,9.95,moderate rain
191,Senanga,ZM,-16.1167,23.2667,81.61,26,60,3.13,broken clouds
192,Antofagasta,CL,-23.65,-70.4,66.22,56,36,9.82,scattered clouds
193,Macas,EC,-2.3167,-78.1167,80.35,53,75,6.91,light rain
194,Morehead,US,37.2711,-87.1764,70.14,33,1,1.99,clear sky
195,Mitsamiouli,KM,-11.3847,43.2844,76.96,77,1,14.74,clear sky
196,Wanning,CN,18.8003,110.3967,77.61,90,99,18.45,moderate rain
197,Aksarka,RU,66.5606,67.7975,39.02,97,100,13.38,light rain
198,Bezhanitsy,RU,56.9767,29.8907,41.34,89,100,7.27,light rain
199,Sawakin,SD,19.1059,37.3321,84.81,66,1,11.63,clear sky
200,Tokur,RU,53.1333,132.9,1.6,96,70,1.54,broken clouds
201,Codrington,AU,-38.2667,141.9667,43.34,93,50,6.49,scattered clouds
202,Xuddur,SO,4.1213,43.8894,75.58,72,91,17.92,overcast clouds
203,Shima,CN,24.4478,117.8111,73.22,68,62,3.71,light rain
204,Kodiak,US,57.79,-152.4072,42.28,98,100,36.13,moderate rain
205,Ust-Nera,RU,64.5667,143.2,-4.86,99,92,4.07,overcast clouds
206,Monte Alegre,BR,-2.0078,-54.0692,96.28,35,88,7.07,overcast clouds
207,Klaeng,TH,12.7797,101.6483,77.95,96,100,6.42,moderate rain
208,Fortuna,US,40.5982,-124.1573,54.93,71,75,1.01,moderate rain
209,Udala,ES,43.0778,-2.5125,60.12,91,86,3.76,overcast clouds
210,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,40,6.91,volcanic ash
211,Yulara,AU,-25.2406,130.9889,66.04,30,6,6.91,clear sky
212,San Policarpo,PH,12.1791,125.5072,81.32,82,15,5.97,few clouds
213,Poli,TZ,-3.3333,36.8,64.33,66,54,5.3,broken clouds
