City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,
150,Bafoulabe,ML,82.22,scattered clouds,13.8065,-10.8321,
153,Aloleng,PH,79.86,broken clouds,16.1307,119.7824,
157,Farafangana,MG,73.49,clear sky,-22.8167,47.8333,
158,Sokoni,TZ,77.9,clear sky,-6.4333,39.55,
160,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,
162,Lai,TD,74.98,moderate rain,9.3952,16.2989,
166,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,
168,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
170,Caravelas,BR,78.62,scattered clouds,-17.7125,-39.2481,
173,Sao Desiderio,BR,88.88,broken clouds,-12.3633,-44.9733,
174,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
175,Nabire,ID,74.43,overcast clouds,-3.3667,135.4833,
179,Dondo,MZ,76.14,clear sky,-19.6094,34.7431,
183,Coffeyville,US,79.25,clear sky,37.0373,-95.6164,
184,Gull Lake,CA,75.74,few clouds,50.1001,-108.4847,
186,Sorong,ID,79.83,overcast clouds,-0.8833,131.25,
187,Kavieng,PG,82.44,few clouds,-2.5744,150.7967,
189,San Luis,AR,73.26,scattered clouds,-33.295,-66.3356,
191,Senanga,ZM,81.61,broken clouds,-16.1167,23.2667,
193,Macas,EC,80.35,light rain,-2.3167,-78.1167,
194,Morehead,US,70.14,clear sky,37.2711,-87.1764,
195,Mitsamiouli,KM,76.96,clear sky,-11.3847,43.2844,
196,Wanning,CN,77.61,moderate rain,18.8003,110.3967,
199,Sawakin,SD,84.81,clear sky,19.1059,37.3321,
202,Xuddur,SO,75.58,overcast clouds,4.1213,43.8894,
203,Shima,CN,73.22,light rain,24.4478,117.8111,
207,Klaeng,TH,77.95,moderate rain,12.7797,101.6483,
212,San Policarpo,PH,81.32,few clouds,12.1791,125.5072,
214,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,
216,Dwarka,IN,81.1,overcast clouds,22.2394,68.9678,
217,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,
218,Praya,CV,82.94,few clouds,14.9215,-23.5087,
219,Manoel Urbano,BR,87.3,overcast clouds,-8.8389,-69.2597,
